time,open,high,low,close,volume
1734390000,22115.75,22119.25,22110.5,22116.75,402
1734391800,22117.5,22117.5,22102.5,22105.75,626
1734393600,22106.25,22110.5,22087.75,22089.0,729
1734395400,22088.25,22093.5,22086.0,22092.0,709
1734397200,22092.75,22102.0,22090.25,22099.25,788
1734399000,22099.5,22102.0,22037.5,22043.75,2558
1734400800,22042.75,22061.25,22028.75,22060.0,2082
1734402600,22057.75,22071.75,22036.0,22045.0,1783
1734404400,22042.75,22076.25,22039.75,22057.0,1458
1734406200,22058.5,22094.5,22058.0,22087.75,1429
1734408000,22087.5,22094.0,22074.25,22088.0,1296
1734409800,22088.5,22109.75,22088.0,22106.5,1098
1734411600,22107.0,22121.25,22088.75,22113.75,1465
1734413400,22114.25,22115.5,22071.25,22087.25,1411
1734415200,22088.0,22096.5,22051.75,22065.5,1954
1734417000,22067.0,22067.0,22048.0,22050.0,1270
1734418800,22050.0,22050.5,22025.5,22039.5,2122
1734420600,22041.25,22063.5,22026.0,22047.25,2543
1734422400,22047.75,22066.5,22028.5,22033.5,3523
1734424200,22033.0,22062.25,21977.25,22004.75,26268
1734426000,22003.5,22014.5,21942.25,21947.5,17715
1734427800,21946.75,22012.25,21946.75,22005.25,10077
1734429600,22005.25,22053.0,21980.25,22038.0,10887
1734431400,22036.75,22080.5,22028.75,22036.5,7450
1734433200,22037.5,22039.25,21994.5,22037.25,7031
1734435000,22037.25,22053.25,22019.75,22036.25,4375
1734436800,22036.0,22044.25,22008.0,22014.25,4063
1734438600,22014.25,22030.25,22000.25,22003.75,3159
1734440400,22004.25,22005.75,21976.25,21984.75,4032
1734442200,21984.75,21993.75,21966.25,21981.25,3945
1734444000,21980.75,21989.5,21954.0,21971.5,4680
1734445800,21971.0,22030.25,21964.25,22016.0,10905
1734447600,22015.5,22017.75,21987.75,22011.75,4338
1734449400,22011.5,22016.25,21989.25,22005.0,779
1734454800,22010.0,22010.25,21900.75,21954.0,3853
1734456600,21952.25,21980.0,21952.25,21970.0,566
1734458400,21971.0,21995.0,21968.75,21985.0,820
1734460200,21984.75,21988.5,21978.5,21983.5,321
1734462000,21985.25,22005.25,21985.25,22003.0,593
1734463800,22002.0,22020.25,22002.0,22018.75,569
1734465600,22019.25,22026.25,22019.0,22022.75,300
1734467400,22023.25,22027.75,22019.75,22021.25,353
1734469200,22022.0,22023.0,22002.25,22005.5,487
1734471000,22005.0,22022.0,21998.75,22007.25,414
1734472800,22008.0,22030.75,22007.75,22030.25,365
1734474600,22031.0,22039.0,22028.25,22033.5,343
1734476400,22033.25,22034.0,22021.5,22028.0,306
1734478200,22028.5,22041.75,22025.0,22039.75,306
1734480000,22039.25,22048.0,22033.75,22033.75,329
1734481800,22033.25,22037.0,22015.0,22036.0,404
1734483600,22037.5,22038.75,22019.25,22031.25,441
1734485400,22031.25,22032.5,22019.75,22029.25,318
1734487200,22029.25,22058.25,22028.75,22050.75,1039
1734489000,22051.25,22051.25,22029.75,22035.25,487
1734490800,22034.5,22038.0,22012.0,22026.75,1087
1734492600,22024.75,22053.25,22024.75,22048.25,754
1734494400,22049.75,22074.25,22044.75,22071.0,1010
1734496200,22071.5,22072.25,22050.5,22066.25,613
1734498000,22066.0,22080.5,22061.0,22072.0,547
1734499800,22071.5,22075.75,22056.0,22067.5,566
1734501600,22067.0,22083.75,22059.25,22070.5,1150
1734503400,22070.25,22080.75,22063.25,22075.0,610
1734505200,22075.25,22077.25,22052.25,22062.25,932
1734507000,22062.0,22063.75,21985.0,21987.0,2470
1734508800,21987.75,22004.5,21970.25,21979.0,3109
1734510600,21980.75,22002.5,21913.25,21990.75,10485
1734512400,21991.5,22018.25,21975.5,22015.0,5192
1734514200,22014.75,22053.5,22000.5,22022.0,4563
1734516000,22021.75,22042.5,21954.5,22013.5,4792
1734517800,22013.25,22030.0,22003.75,22008.5,2650
1734519600,22007.5,22026.5,21997.25,22004.0,1844
1734521400,22003.75,22017.25,21982.0,22003.75,1736
1734523200,22003.5,22015.75,21994.25,21995.5,1213
1734525000,21994.75,22010.25,21972.0,21994.75,1192
1734526800,22001.0,22001.0,21781.25,21787.5,12154
1734528600,21786.5,21845.75,21619.25,21625.0,10343
1734530400,21628.75,21650.5,21430.5,21441.5,9846
1734532200,21439.0,21486.0,21155.75,21212.75,20124
1734534000,21212.5,21231.25,21034.25,21181.5,5995
1734535800,21178.25,21195.75,21140.75,21176.75,717
1734541200,21218.5,21273.75,21187.5,21270.75,1477
1734543000,21271.0,21274.25,21183.75,21199.25,1482
1734544800,21203.25,21254.25,21196.0,21251.75,838
1734546600,21250.25,21266.0,21241.0,21264.5,630
1734548400,21265.0,21277.0,21211.75,21211.75,804
1734550200,21215.0,21233.25,21201.25,21229.5,676
1734552000,21227.75,21228.25,21206.0,21221.75,293
1734553800,21219.0,21219.0,21181.0,21189.5,632
1734555600,21191.0,21201.25,21155.75,21192.25,803
1734557400,21193.0,21211.5,21193.0,21207.75,317
1734559200,21209.0,21217.75,21196.25,21214.0,187
1734561000,21214.75,21224.0,21194.75,21212.0,197
1734562800,21211.25,21234.5,21204.25,21212.75,190
1734564600,21215.0,21215.0,21160.5,21165.75,368
1734566400,21165.5,21213.5,21165.5,21204.0,357
1734568200,21202.25,21222.5,21185.75,21210.5,531
1734570000,21213.5,21286.75,21207.0,21279.25,1148
