,Open,High,Low,Close,Volume
2024-07-23 04:30:00,19962.75,19970.0,19956.25,19958.75,2399
2024-07-23 05:00:00,19958.5,19983.25,19952.0,19982.25,2984
2024-07-23 05:30:00,19981.75,19994.0,19963.5,19973.5,3779
2024-07-23 06:00:00,19973.25,20009.0,19972.75,20005.25,4583
2024-07-23 06:30:00,20005.25,20015.5,19981.25,19995.75,5159
2024-07-23 07:00:00,19995.25,19996.0,19938.25,19952.25,7145
2024-07-23 07:30:00,19952.0,19974.5,19923.75,19968.75,10509
2024-07-23 08:00:00,19968.5,19984.75,19948.25,19957.0,10509
2024-07-23 08:30:00,19957.75,20036.0,19933.5,20006.25,70208
2024-07-23 09:00:00,20006.5,20047.75,19960.5,20018.0,54736
2024-07-23 09:30:00,20019.0,20024.25,19927.5,19969.25,53023
2024-07-23 10:00:00,19969.25,20084.75,19966.25,20063.25,46948
2024-07-23 10:30:00,20064.25,20074.25,20026.5,20034.0,24887
2024-07-23 11:00:00,20034.75,20040.75,19937.0,19964.75,37247
2024-07-23 11:30:00,19964.5,19979.0,19926.5,19949.25,27137
2024-07-23 12:00:00,19949.25,19974.25,19915.75,19958.5,25316
2024-07-23 12:30:00,19958.75,19988.0,19941.75,19979.75,20883
2024-07-23 13:00:00,19979.0,19997.0,19946.5,19961.25,21896
2024-07-23 13:30:00,19961.5,19990.5,19956.25,19975.5,16874
2024-07-23 14:00:00,19975.75,19995.75,19967.25,19986.5,15630
2024-07-23 14:30:00,19986.25,19987.75,19904.0,19924.75,41852
2024-07-23 15:00:00,19924.75,19999.75,19902.75,19959.75,24051
2024-07-23 15:30:00,19959.5,19980.0,19942.5,19946.25,5124
2024-07-23 17:00:00,19883.0,19883.0,19786.25,19802.0,8056
2024-07-23 17:30:00,19801.25,19836.5,19801.25,19817.0,4379
2024-07-23 18:00:00,19817.0,19817.5,19800.25,19809.5,2077
2024-07-23 18:30:00,19808.75,19811.5,19792.25,19792.25,3807
2024-07-23 19:00:00,19792.75,19828.5,19792.75,19818.75,3768
2024-07-23 19:30:00,19819.0,19838.25,19812.5,19827.0,3065
2024-07-23 20:00:00,19828.5,19836.75,19820.25,19834.0,2903
2024-07-23 20:30:00,19835.0,19837.0,19812.0,19815.25,3601
2024-07-23 21:00:00,19814.25,19823.25,19808.5,19819.75,1086
2024-07-23 21:30:00,19820.5,19823.75,19812.25,19818.5,796
2024-07-23 22:00:00,19818.25,19822.5,19801.0,19805.0,1078
2024-07-23 22:30:00,19805.5,19808.5,19793.0,19798.5,1224
2024-07-23 23:00:00,19798.75,19801.0,19731.75,19733.5,4961
2024-07-23 23:30:00,19734.25,19740.0,19721.25,19729.5,2358
2024-07-24 00:00:00,19729.75,19770.5,19726.5,19766.25,2672
2024-07-24 00:30:00,19766.25,19775.5,19754.0,19763.25,2221
2024-07-24 01:00:00,19763.75,19775.5,19734.5,19744.0,4644
2024-07-24 01:30:00,19742.75,19747.5,19712.75,19721.5,4425
2024-07-24 02:00:00,19720.75,19748.0,19708.0,19731.0,5642
2024-07-24 02:30:00,19731.25,19753.25,19716.0,19716.5,5288
2024-07-24 03:00:00,19717.5,19738.0,19686.0,19689.0,7165
2024-07-24 03:30:00,19689.5,19752.5,19683.25,19746.5,6019
2024-07-24 04:00:00,19746.25,19751.5,19703.0,19713.0,4663
2024-07-24 04:30:00,19711.75,19726.0,19703.25,19716.75,3368
2024-07-24 05:00:00,19717.25,19750.0,19715.5,19735.25,3959
2024-07-24 05:30:00,19735.25,19738.0,19705.75,19716.0,4199
2024-07-24 06:00:00,19716.5,19730.5,19689.75,19727.75,7200
2024-07-24 06:30:00,19728.0,19730.0,19695.0,19703.25,6792
2024-07-24 07:00:00,19703.25,19705.0,19638.75,19640.0,12948
2024-07-24 07:30:00,19640.75,19650.0,19607.5,19633.25,19324
2024-07-24 08:00:00,19633.5,19652.0,19621.25,19640.25,17536
2024-07-24 08:30:00,19640.5,19653.75,19501.0,19512.0,96881
2024-07-24 09:00:00,19511.5,19523.75,19466.25,19485.25,63763
2024-07-24 09:30:00,19486.0,19498.0,19411.75,19435.0,53196
2024-07-24 10:00:00,19436.25,19443.5,19370.0,19394.75,44374
2024-07-24 10:30:00,19395.0,19415.25,19357.25,19359.25,37304
2024-07-24 11:00:00,19359.5,19367.5,19321.25,19332.25,38945
2024-07-24 11:30:00,19332.75,19354.0,19308.5,19321.5,34453
2024-07-24 12:00:00,19321.25,19380.5,19310.75,19346.75,32829
2024-07-24 12:30:00,19347.25,19375.0,19315.25,19320.0,28751
2024-07-24 13:00:00,19320.0,19330.75,19284.25,19290.75,30935
2024-07-24 13:30:00,19290.25,19300.25,19224.0,19248.5,44110
2024-07-24 14:00:00,19248.0,19255.5,19211.25,19217.0,36927
2024-07-24 14:30:00,19217.5,19307.5,19168.75,19204.5,88167
2024-07-24 15:00:00,19205.0,19270.5,19191.0,19263.25,26478
2024-07-24 15:30:00,19263.75,19276.75,19256.0,19269.5,4601
2024-07-24 17:00:00,19260.0,19304.5,19257.5,19278.5,4385
2024-07-24 17:30:00,19278.0,19292.25,19272.5,19279.0,2275
2024-07-24 18:00:00,19279.0,19290.0,19263.0,19277.75,2336
2024-07-24 18:30:00,19277.25,19282.0,19266.0,19271.25,1892
2024-07-24 19:00:00,19270.75,19302.25,19257.5,19291.0,3893
2024-07-24 19:30:00,19290.0,19301.75,19275.25,19293.0,2935
2024-07-24 20:00:00,19292.25,19303.5,19280.5,19292.75,2519
2024-07-24 20:30:00,19293.5,19294.0,19247.25,19256.5,3307
2024-07-24 21:00:00,19256.75,19275.5,19255.75,19259.5,2662
2024-07-24 21:30:00,19259.5,19264.5,19216.0,19232.25,4528
2024-07-24 22:00:00,19232.75,19268.5,19232.75,19267.5,2689
2024-07-24 22:30:00,19267.75,19284.0,19257.75,19267.5,2662
2024-07-24 23:00:00,19267.75,19274.0,19253.0,19266.25,1831
2024-07-24 23:30:00,19266.75,19274.5,19247.0,19254.25,1823
2024-07-25 00:00:00,19254.25,19269.0,19247.25,19254.25,1483
2024-07-25 00:30:00,19254.0,19255.25,19232.5,19235.25,1996
2024-07-25 01:00:00,19235.25,19248.0,19154.0,19243.25,12059
2024-07-25 01:30:00,19244.0,19276.0,19232.5,19244.25,5786
2024-07-25 02:00:00,19244.0,19261.75,19170.5,19209.25,10544
2024-07-25 02:30:00,19208.5,19222.75,19163.0,19187.0,8673
2024-07-25 03:00:00,19185.5,19190.25,19062.0,19138.75,17073
2024-07-25 03:30:00,19137.75,19204.5,19133.5,19198.0,9768
2024-07-25 04:00:00,19198.25,19235.0,19163.0,19183.5,8297
2024-07-25 04:30:00,19183.5,19203.25,19134.75,19143.75,6784
2024-07-25 05:00:00,19143.0,19163.5,19096.5,19105.25,8256
2024-07-25 05:30:00,19106.0,19169.0,19101.75,19158.75,8067
2024-07-25 06:00:00,19159.5,19208.0,19154.75,19161.5,7957
2024-07-25 06:30:00,19162.0,19190.5,19126.75,19131.0,6417
2024-07-25 07:00:00,19130.75,19167.75,19120.75,19130.75,6660
2024-07-25 07:30:00,19131.75,19234.75,19080.0,19233.75,26257
2024-07-25 08:00:00,19233.25,19244.5,19174.25,19217.5,21257
2024-07-25 08:30:00,19217.0,19226.75,19016.5,19031.25,107841
2024-07-25 09:00:00,19032.0,19088.0,18883.25,19077.5,107712
2024-07-25 09:30:00,19077.75,19217.0,19041.75,19214.75,75818
2024-07-25 10:00:00,19214.25,19280.0,19150.25,19202.25,61194
2024-07-25 10:30:00,19202.5,19237.0,19142.5,19235.0,44708
2024-07-25 11:00:00,19234.75,19356.25,19190.75,19341.0,54448
2024-07-25 11:30:00,19342.0,19361.25,19300.25,19334.0,37364
2024-07-25 12:00:00,19334.5,19390.5,19247.25,19263.75,41530
2024-07-25 12:30:00,19265.0,19302.25,19245.0,19289.5,25469
2024-07-25 13:00:00,19289.25,19294.25,19190.75,19221.5,30661
